ID,File,Line,Context
626,math.zig,862,"try testing.expect((divTrunc(i32, 5, 3) catch unreachable) == 1); |     try testing.expect((divTrunc(i32, -5, 3) catch unreachable) == -1); |     try testing.expectError(error.DivisionByZero, divTrunc..."
627,math.zig,866,"|     try testing.expect((divTrunc(f32, 5.0, 3.0) catch unreachable) == 1.0); |     try testing.expect((divTrunc(f32, -5.0, 3.0) catch unreachable) == -1.0);"
628,math.zig,867,"try testing.expect((divTrunc(f32, 5.0, 3.0) catch unreachable) == 1.0); |     try testing.expect((divTrunc(f32, -5.0, 3.0) catch unreachable) == -1.0); | }"
629,math.zig,885,"fn testDivFloor() !void { |     try testing.expect((divFloor(i32, 5, 3) catch unreachable) == 1); |     try testing.expect((divFloor(i32, -5, 3) catch unreachable) == -2);"
630,math.zig,886,"try testing.expect((divFloor(i32, 5, 3) catch unreachable) == 1); |     try testing.expect((divFloor(i32, -5, 3) catch unreachable) == -2); |     try testing.expectError(error.DivisionByZero, divFloor..."
631,math.zig,890,"|     try testing.expect((divFloor(f32, 5.0, 3.0) catch unreachable) == 1.0); |     try testing.expect((divFloor(f32, -5.0, 3.0) catch unreachable) == -2.0);"
632,math.zig,891,"try testing.expect((divFloor(f32, 5.0, 3.0) catch unreachable) == 1.0); |     try testing.expect((divFloor(f32, -5.0, 3.0) catch unreachable) == -2.0); | }"
633,math.zig,922,"fn testDivCeil() !void { |     try testing.expectEqual(@as(i32, 2), divCeil(i32, 5, 3) catch unreachable); |     try testing.expectEqual(@as(i32, -1), divCeil(i32, -5, 3) catch unreachable);"
634,math.zig,923,"try testing.expectEqual(@as(i32, 2), divCeil(i32, 5, 3) catch unreachable); |     try testing.expectEqual(@as(i32, -1), divCeil(i32, -5, 3) catch unreachable); |     try testing.expectEqual(@as(i32, -..."
635,math.zig,924,"try testing.expectEqual(@as(i32, -1), divCeil(i32, -5, 3) catch unreachable); |     try testing.expectEqual(@as(i32, -1), divCeil(i32, 5, -3) catch unreachable); |     try testing.expectEqual(@as(i32,..."
636,math.zig,925,"try testing.expectEqual(@as(i32, -1), divCeil(i32, 5, -3) catch unreachable); |     try testing.expectEqual(@as(i32, 2), divCeil(i32, -5, -3) catch unreachable); |     try testing.expectEqual(@as(i32,..."
637,math.zig,926,"try testing.expectEqual(@as(i32, 2), divCeil(i32, -5, -3) catch unreachable); |     try testing.expectEqual(@as(i32, 0), divCeil(i32, 0, 5) catch unreachable); |     try testing.expectEqual(@as(u32, 0..."
638,math.zig,927,"try testing.expectEqual(@as(i32, 0), divCeil(i32, 0, 5) catch unreachable); |     try testing.expectEqual(@as(u32, 0), divCeil(u32, 0, 5) catch unreachable); |     try testing.expectError(error.Divisi..."
639,math.zig,931,"|     try testing.expectEqual(@as(f32, 0.0), divCeil(f32, 0.0, 5.0) catch unreachable); |     try testing.expectEqual(@as(f32, 2.0), divCeil(f32, 5.0, 3.0) catch unreachable);"
640,math.zig,932,"try testing.expectEqual(@as(f32, 0.0), divCeil(f32, 0.0, 5.0) catch unreachable); |     try testing.expectEqual(@as(f32, 2.0), divCeil(f32, 5.0, 3.0) catch unreachable); |     try testing.expectEqual(..."
641,math.zig,933,"try testing.expectEqual(@as(f32, 2.0), divCeil(f32, 5.0, 3.0) catch unreachable); |     try testing.expectEqual(@as(f32, -1.0), divCeil(f32, -5.0, 3.0) catch unreachable); |     try testing.expectEqua..."
642,math.zig,934,"try testing.expectEqual(@as(f32, -1.0), divCeil(f32, -5.0, 3.0) catch unreachable); |     try testing.expectEqual(@as(f32, -1.0), divCeil(f32, 5.0, -3.0) catch unreachable); |     try testing.expectEq..."
643,math.zig,935,"try testing.expectEqual(@as(f32, -1.0), divCeil(f32, 5.0, -3.0) catch unreachable); |     try testing.expectEqual(@as(f32, 2.0), divCeil(f32, -5.0, -3.0) catch unreachable); |"
644,math.zig,937,"|     try testing.expectEqual(6, divCeil(comptime_int, 23, 4) catch unreachable); |     try testing.expectEqual(-5, divCeil(comptime_int, -23, 4) catch unreachable);"
645,math.zig,938,"try testing.expectEqual(6, divCeil(comptime_int, 23, 4) catch unreachable); |     try testing.expectEqual(-5, divCeil(comptime_int, -23, 4) catch unreachable); |     try testing.expectEqual(-5, divCei..."
646,math.zig,939,"try testing.expectEqual(-5, divCeil(comptime_int, -23, 4) catch unreachable); |     try testing.expectEqual(-5, divCeil(comptime_int, 23, -4) catch unreachable); |     try testing.expectEqual(6, divCe..."
647,math.zig,940,"try testing.expectEqual(-5, divCeil(comptime_int, 23, -4) catch unreachable); |     try testing.expectEqual(6, divCeil(comptime_int, -23, -4) catch unreachable); |     try testing.expectError(error.Di..."
648,math.zig,943,"|     try testing.expectEqual(6.0, divCeil(comptime_float, 23.0, 4.0) catch unreachable); |     try testing.expectEqual(-5.0, divCeil(comptime_float, -23.0, 4.0) catch unreachable);"
649,math.zig,944,"try testing.expectEqual(6.0, divCeil(comptime_float, 23.0, 4.0) catch unreachable); |     try testing.expectEqual(-5.0, divCeil(comptime_float, -23.0, 4.0) catch unreachable); |     try testing.expect..."
650,math.zig,945,"try testing.expectEqual(-5.0, divCeil(comptime_float, -23.0, 4.0) catch unreachable); |     try testing.expectEqual(-5.0, divCeil(comptime_float, 23.0, -4.0) catch unreachable); |     try testing.expe..."
651,math.zig,946,"try testing.expectEqual(-5.0, divCeil(comptime_float, 23.0, -4.0) catch unreachable); |     try testing.expectEqual(6.0, divCeil(comptime_float, -23.0, -4.0) catch unreachable); |     try testing.expe..."
652,math.zig,966,"fn testDivExact() !void { |     try testing.expect((divExact(i32, 10, 5) catch unreachable) == 2); |     try testing.expect((divExact(i32, -10, 5) catch unreachable) == -2);"
653,math.zig,967,"try testing.expect((divExact(i32, 10, 5) catch unreachable) == 2); |     try testing.expect((divExact(i32, -10, 5) catch unreachable) == -2); |     try testing.expectError(error.DivisionByZero, divExa..."
654,math.zig,972,"|     try testing.expect((divExact(f32, 10.0, 5.0) catch unreachable) == 2.0); |     try testing.expect((divExact(f32, -10.0, 5.0) catch unreachable) == -2.0);"
655,math.zig,973,"try testing.expect((divExact(f32, 10.0, 5.0) catch unreachable) == 2.0); |     try testing.expect((divExact(f32, -10.0, 5.0) catch unreachable) == -2.0); |     try testing.expectError(error.Unexpected..."
656,math.zig,992,"fn testMod() !void { |     try testing.expect((mod(i32, -5, 3) catch unreachable) == 1); |     try testing.expect((mod(i32, 5, 3) catch unreachable) == 2);"
657,math.zig,993,"try testing.expect((mod(i32, -5, 3) catch unreachable) == 1); |     try testing.expect((mod(i32, 5, 3) catch unreachable) == 2); |     try testing.expectError(error.NegativeDenominator, mod(i32, 10, -..."
658,math.zig,997,"|     try testing.expect((mod(f32, -5, 3) catch unreachable) == 1); |     try testing.expect((mod(f32, 5, 3) catch unreachable) == 2);"
659,math.zig,998,"try testing.expect((mod(f32, -5, 3) catch unreachable) == 1); |     try testing.expect((mod(f32, 5, 3) catch unreachable) == 2); |     try testing.expectError(error.NegativeDenominator, mod(f32, 10, -..."
660,math.zig,1018,"fn testRem() !void { |     try testing.expect((rem(i32, -5, 3) catch unreachable) == -2); |     try testing.expect((rem(i32, 5, 3) catch unreachable) == 2);"
661,math.zig,1019,"try testing.expect((rem(i32, -5, 3) catch unreachable) == -2); |     try testing.expect((rem(i32, 5, 3) catch unreachable) == 2); |     try testing.expectError(error.NegativeDenominator, rem(i32, 10, ..."
662,math.zig,1023,"|     try testing.expect((rem(f32, -5, 3) catch unreachable) == -2); |     try testing.expect((rem(f32, 5, 3) catch unreachable) == 2);"
663,math.zig,1024,"try testing.expect((rem(f32, -5, 3) catch unreachable) == -2); |     try testing.expect((rem(f32, 5, 3) catch unreachable) == 2); |     try testing.expectError(error.NegativeDenominator, rem(f32, 10, ..."
664,math.zig,1043,"test negateCast { |     try testing.expect((negateCast(@as(u32, 999)) catch unreachable) == -999); |     try testing.expect(@TypeOf(negateCast(@as(u32, 999)) catch unreachable) == i32);"
665,math.zig,1044,"try testing.expect((negateCast(@as(u32, 999)) catch unreachable) == -999); |     try testing.expect(@TypeOf(negateCast(@as(u32, 999)) catch unreachable) == i32); |"
666,math.zig,1046,"|     try testing.expect((negateCast(@as(u32, -minInt(i32))) catch unreachable) == minInt(i32)); |     try testing.expect(@TypeOf(negateCast(@as(u32, -minInt(i32))) catch unreachable) == i32);"
667,math.zig,1047,"try testing.expect((negateCast(@as(u32, -minInt(i32))) catch unreachable) == minInt(i32)); |     try testing.expect(@TypeOf(negateCast(@as(u32, -minInt(i32))) catch unreachable) == i32); |"
668,math.zig,1224,"pub fn ceilPowerOfTwoAssert(comptime T: type, value: T) T { |     return ceilPowerOfTwo(T, value) catch unreachable; | }"
669,math.zig,1586,"} else { |         unreachable; |     }"
670,meta.zig,873,"_ = &one; |     try testing.expect(intToEnum(E1, zero) catch unreachable == E1.A); |     try testing.expect(intToEnum(E2, one) catch unreachable == E2.B);"
671,meta.zig,874,"try testing.expect(intToEnum(E1, zero) catch unreachable == E1.A); |     try testing.expect(intToEnum(E2, one) catch unreachable == E2.B); |     try testing.expect(intToEnum(E3, zero) catch unreachabl..."
672,meta.zig,875,"try testing.expect(intToEnum(E2, one) catch unreachable == E2.B); |     try testing.expect(intToEnum(E3, zero) catch unreachable == E3.A); |     try testing.expect(intToEnum(E3, 127) catch unreachable..."
673,meta.zig,876,"try testing.expect(intToEnum(E3, zero) catch unreachable == E3.A); |     try testing.expect(intToEnum(E3, 127) catch unreachable == @as(E3, @enumFromInt(127))); |     try testing.expect(intToEnum(E3, ..."
674,meta.zig,877,"try testing.expect(intToEnum(E3, 127) catch unreachable == @as(E3, @enumFromInt(127))); |     try testing.expect(intToEnum(E3, -128) catch unreachable == @as(E3, @enumFromInt(-128))); |     try testin..."
675,meta.zig,1006,"tuple_fields[i] = .{ |             .name = std.fmt.bufPrintZ(&num_buf, ""{d}"", .{i}) catch unreachable, |             .type = T,"
676,multi_array_list.zig,100,".@""union"" => Elem.fromT(elem), |                     else => unreachable, |                 };"
677,multi_array_list.zig,115,".@""union"" => Elem.toT(result.tags, result.data), |                     else => unreachable, |                 };"
678,multi_array_list.zig,296,".@""union"" => Elem.fromT(elem), |                 else => unreachable, |             };"
679,net/test.zig,12,"// Parses IPv6 at comptime |         const ipv6addr = net.Address.parseIp(""::1"", 0) catch unreachable; |         var ipv6 = std.fmt.bufPrint(ipAddrBuffer[0..], ""{}"", .{ipv6addr}) catch unreachable;"
680,net/test.zig,13,"const ipv6addr = net.Address.parseIp(""::1"", 0) catch unreachable; |         var ipv6 = std.fmt.bufPrint(ipAddrBuffer[0..], ""{}"", .{ipv6addr}) catch unreachable; |         try std.testing.expect(std.me..."
681,net/test.zig,17,"// Parses IPv4 at comptime |         const ipv4addr = net.Address.parseIp(""127.0.0.1"", 0) catch unreachable; |         var ipv4 = std.fmt.bufPrint(ipAddrBuffer[0..], ""{}"", .{ipv4addr}) catch unreachab..."
682,net/test.zig,18,"const ipv4addr = net.Address.parseIp(""127.0.0.1"", 0) catch unreachable; |         var ipv4 = std.fmt.bufPrint(ipAddrBuffer[0..], ""{}"", .{ipv4addr}) catch unreachable; |         try std.testing.expect(..."
683,net/test.zig,35,"var buffer: [50]u8 = undefined; |     const result = std.fmt.bufPrint(buffer[0..], ""{}"", .{addr}) catch unreachable; |"
684,net/test.zig,113,"for (ips, 0..) |ip, i| { |         const addr = net.Address.parseIp6(ip, 0) catch unreachable; |         var newIp = std.fmt.bufPrint(buffer[0..], ""{}"", .{addr}) catch unreachable;"
685,net/test.zig,114,"const addr = net.Address.parseIp6(ip, 0) catch unreachable; |         var newIp = std.fmt.bufPrint(buffer[0..], ""{}"", .{addr}) catch unreachable; |         try std.testing.expect(std.mem.eql(u8, print..."
686,net/test.zig,118,"if (builtin.os.tag == .linux) { |             const addr_via_resolve = net.Address.resolveIp6(ip, 0) catch unreachable; |             var newResolvedIp = std.fmt.bufPrint(buffer[0..], ""{}"", .{addr_via..."
687,net/test.zig,119,"const addr_via_resolve = net.Address.resolveIp6(ip, 0) catch unreachable; |             var newResolvedIp = std.fmt.bufPrint(buffer[0..], ""{}"", .{addr_via_resolve}) catch unreachable; |             tr..."
688,net/test.zig,161,"}) |ip| { |         const addr = net.Address.parseIp4(ip, 0) catch unreachable; |         var newIp = std.fmt.bufPrint(buffer[0..], ""{}"", .{addr}) catch unreachable;"
689,net/test.zig,162,"const addr = net.Address.parseIp4(ip, 0) catch unreachable; |         var newIp = std.fmt.bufPrint(buffer[0..], ""{}"", .{addr}) catch unreachable; |         try std.testing.expect(std.mem.eql(u8, ip, n..."
690,net/test.zig,179,"var buffer: [14]u8 = undefined; |     const addr = net.Address.initUnix(""/tmp/testpath"") catch unreachable; |     const fmt_addr = std.fmt.bufPrint(buffer[0..], ""{}"", .{addr}) catch unreachable;"
691,net/test.zig,180,"const addr = net.Address.initUnix(""/tmp/testpath"") catch unreachable; |     const fmt_addr = std.fmt.bufPrint(buffer[0..], ""{}"", .{addr}) catch unreachable; |     try std.testing.expectEqualSlices(u8,..."
692,net/test.zig,195,"if (builtin.os.tag == .windows) { |             std.os.windows.WSACleanup() catch unreachable; |         }"
693,net/test.zig,232,"if (builtin.os.tag == .windows) { |             std.os.windows.WSACleanup() catch unreachable; |         }"
694,net/test.zig,321,"if (builtin.os.tag == .windows) { |             std.os.windows.WSACleanup() catch unreachable; |         }"
695,net.zig,94,"posix.AF.UNSPEC => return parseIp(name, port), |             else => unreachable, |         }"
696,net.zig,139,"posix.AF.INET6 => self.in6.getPort(), |             else => unreachable, |         };"
697,net.zig,149,"posix.AF.INET6 => self.in6.setPort(port), |             else => unreachable, |         }"
698,net.zig,160,"posix.AF.INET6 => return Address{ .in6 = Ip6Address{ .sa = @as(*const posix.sockaddr.in6, @ptrCast(addr)).* } }, |             else => unreachable, |         }"
699,net.zig,176,"if (!has_unix_sockets) { |                     unreachable; |                 }"
700,net.zig,181,"}, |             else => unreachable, |         }"
701,net.zig,197,"if (!has_unix_sockets) { |                     unreachable; |                 }"
702,net.zig,211,"|             else => unreachable, |         }"
703,net.zig,923,".WSATYPE_NOT_FOUND => return error.ServiceUnavailable, |                 .WSAEINVAL => unreachable, |                 .WSAESOCKTNOSUPPORT => unreachable,"
704,net.zig,924,".WSAEINVAL => unreachable, |                 .WSAESOCKTNOSUPPORT => unreachable, |                 .WSANOTINITIALISED => {"
705,net.zig,987,".AGAIN => return error.TemporaryNameServerFailure, |             .BADFLAGS => unreachable, // Invalid hints |             .FAIL => return error.NameServerFailure,"
706,net.zig,994,".SERVICE => return error.ServiceUnavailable, |             .SOCKTYPE => unreachable, // Invalid socket type requested in hints |             .SYSTEM => switch (posix.errno(-1)) {"
707,net.zig,998,"}, |             else => unreachable, |         }"
708,net.zig,1097,"if (mem.endsWith(u8, name, localhost) and (name.len == localhost.len or name[name.len - localhost.len] == '.')) { |                     try addrs.append(LookupAddr{ .addr = .{ .in = Ip4Address.parse(""..."
709,net.zig,1098,"try addrs.append(LookupAddr{ .addr = .{ .in = Ip4Address.parse(""127.0.0.1"", port) catch unreachable } }); |                     try addrs.append(LookupAddr{ .addr = .{ .in6 = Ip6Address.parse(""::1"", p..."
710,net.zig,1259,"} |     unreachable; | }"
711,net.zig,1840,"switch (native_os) { |             .windows => windows.closesocket(s.handle) catch unreachable, |             else => posix.close(s.handle),"
712,os/linux/bpf.zig,1574,".BADF => return error.BadFd, |         .FAULT => unreachable, |         .INVAL => return error.FieldInAttrNeedsZeroing,"
713,os/linux/bpf.zig,1597,".BADF => return error.BadFd, |         .FAULT => unreachable, |         .INVAL => return error.FieldInAttrNeedsZeroing,"
714,os/linux/bpf.zig,1617,".BADF => return error.BadFd, |         .FAULT => unreachable, |         .INVAL => return error.FieldInAttrNeedsZeroing,"
